;Test;DeltaOz-O1O2;ThetaOz-O1O2;AlphaOz-O1O2;BetaOz-O1O2;DeltaOz-PO;ThetaOz-PO;AlphaOz-PO;BetaOz-PO;DeltaOz-POL;ThetaOz-POL;AlphaOz-POL;BetaOz-POL;DeltaOz-POR;ThetaOz-POR;AlphaOz-POR;BetaOz-POR;DeltaO1O2-PO;ThetaO1O2-PO;AlphaO1O2-PO;BetaO1O2-PO;DeltaO1O2-POL;ThetaO1O2-POL;AlphaO1O2-POL;BetaO1O2-POL;DeltaO1O2-POR;ThetaO1O2-POR;AlphaO1O2-POR;BetaO1O2-POR;DeltaPO-POL;ThetaPO-POL;AlphaPO-POL;BetaPO-POL;DeltaPO-POR;ThetaPO-POR;AlphaPO-POR;BetaPO-POR;DeltaPOL-POR;ThetaPOL-POR;AlphaPOL-POR;BetaPOL-POR;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8;Delta;Theta;Alpha;Beta
S18;Reposo_EEG _AO;29.34807125;32.8255227;41.94390311;127.107107;17.76957884;17.54718224;28.66756465;82.31741869;27.17340996;29.28933274;36.5386899;114.3693074;27.07532143;29.31858109;33.23392357;112.1223672;28.96592574;28.86305522;42.45323596;141.6732338;35.54125952;36.40479912;44.14712259;150.5770834;33.70033622;34.76456599;39.38536783;141.6199522;31.61771563;30.4459986;41.20491287;139.3619256;29.57371615;29.13091036;39.36734825;134.995986;30.17370384;29.8517592;30.19163934;116.9509378;0.0187975;5.3805;-3.16617;-0.0307495;-4.03557;0.716111;1.63049;2.25277;29.09390386;29.84417073;37.71337081;126.1095319
S19;Reposo_EEG _AO;23.27440388;31.18817976;42.95872787;137.9101357;13.62469858;17.29906759;32.00797941;91.83791775;19.877329;25.39829385;35.73050502;108.1305832;19.46712566;23.27345227;32.51203631;106.0264513;31.74653272;31.12677576;44.07961789;143.5916531;34.46605388;33.50756626;41.0495321;129.0600526;34.65451324;31.54993011;37.9062559;130.4842742;31.59589573;31.05925096;39.37032634;130.0887452;33.65814464;30.72531658;39.33155611;124.9133146;29.87508008;22.78871388;24.93513769;77.02229714;-12.137;-1.61045;-6.66077;0.402218;-0.835147;-0.942325;-2.08134;-3.17399;27.22397774;27.7916547;36.98816746;117.9065425
S20;Reposo_EEG _AO;22.23508971;21.41269929;31.51937558;116.8702854;11.49561189;13.52788762;28.45800227;94.71675917;22.27490133;21.28806262;30.52637931;102.9432222;26.34639642;26.97072062;35.21027106;116.2394781;24.5784114;28.29203623;44.99315625;152.3783378;34.089114;35.94866476;44.38906992;149.0550558;33.53939415;33.94610288;43.03430517;150.7518382;29.93644383;31.4121461;43.44032519;151.4322413;26.13217269;27.35398887;42.44021556;145.3826351;34.49675355;32.30435321;35.37002688;123.1468588;6.75283;-3.16362;-1.7913;-1.71404;-6.61965;-1.80028;1.17347;2.51598;26.5124289;27.24566622;37.93811272;130.2916712
S22;Reposo_EEG _AO;25.21818322;30.44680718;43.17154978;151.2265859;13.06235986;17.62438914;33.04681704;112.917527;21.95884262;27.57134852;38.86206527;143.6896285;22.1069091;27.36333802;37.55967919;145.2161397;25.23577245;30.60714509;43.9171039;146.1367691;36.08933798;36.45269901;45.32344698;159.3074733;36.08930884;34.39905725;43.39249123;154.496068;29.81619506;33.90448885;45.01231783;148.7125475;27.53740245;32.18851958;44.51621799;142.5738181;34.05036659;33.41848823;39.04412618;143.3567362;12.3066;4.95587;6.3314;-0.823163;-3.87859;9.18282;3.61025;5.48772;27.11646782;30.39762809;41.38458154;144.7633293
S24;Reposo_EEG _AO;30.26992651;31.27118294;43.03885142;132.0401109;20.25919508;19.79697584;31.27348381;94.26960891;26.05998243;25.58081518;34.69781743;113.6781926;26.75843083;27.08600249;36.69114537;117.5987826;33.67944831;33.2852241;42.74306604;143.0972692;37.12353679;35.1878176;41.66742764;140.1892528;36.89676531;35.05955029;42.96115822;140.741259;36.47029829;35.03608776;42.86651044;140.0286399;35.57105787;33.7902696;42.24986087;137.1598481;35.23236924;29.97093369;32.69177285;106.5522332;0.503265;5.87556;-0.232415;5.64989;0.269688;1.26813;3.05842;1.43886;31.83210107;30.60648595;39.08810941;126.5355197
S25;Reposo_EEG _AO;12.00653535;17.78473968;36.67176188;118.7475631;10.03421849;11.69770972;28.12349882;81.51529377;13.44482352;19.73471613;35.70044035;112.5602875;13.12325331;13.97540067;31.77570459;91.47110664;37.06580592;35.36093482;46.91118701;152.4793981;38.14119444;36.23883865;43.60328468;139.5236813;37.21556706;34.06634623;42.88225205;133.3293435;33.93417295;30.69564675;39.80176366;123.0534447;35.05677758;33.90521283;43.95793553;136.9997838;34.2649303;27.47549754;31.50699938;86.43778564;-6.58182;-13.2215;-4.96797;5.70202;5.15282;-6.13129;-4.34353;0.653793;26.42872789;26.0935043;38.0934828;117.6117688
S26;Reposo_EEG _AO;16.56371329;20.53146648;37.05931021;120.6835048;11.47387371;16.11594182;31.16059029;90.0757843;18.08653875;22.08044099;33.12762988;112.3321383;12.39402835;19.02816988;31.44823596;98.97959611;30.61444285;34.23205237;45.50103808;143.3056878;30.4157199;34.49972592;42.42619899;137.8928479;28.68960382;31.40391829;39.69889498;128.8686936;31.07897409;31.89825044;42.84320375;136.2947321;33.93297662;34.32309379;41.56936342;131.267345;25.13227457;26.77749032;29.05081352;93.92030927;-7.98449;-8.94649;-5.10006;-1.71554;3.14334;-5.00039;-1.01229;-2.47881;23.8382146;27.08905503;37.38852791;119.3620639
S28;Reposo_EEG _AO;17.66373218;18.76393257;34.0728081;101.3088909;12.21731539;12.85459825;27.45256889;77.33263826;21.15866363;21.19944305;34.92412186;105.6002972;11.44220096;13.83847029;25.21423374;79.58546056;32.95362185;30.44032666;45.8933239;147.2544209;32.95189592;34.00635614;41.98562192;136.6869956;28.70232851;28.41226426;40.48996571;133.1155999;29.34287254;28.66135795;40.4189074;133.4248598;35.18282684;35.82185088;43.33334777;140.549744;24.15289794;24.89145077;29.86362277;101.1244456;-9.50773;-12.7568;-7.2531;-0.791159;4.95949;-9.78696;-4.29957;-4.12562;24.57683558;24.88900508;36.36485221;115.5983353
S29;Reposo_EEG _AO;9.052544933;20.69911893;37.24883433;128.6540362;10.18805032;13.15147437;28.02849651;96.4701048;10.38591136;21.21266375;34.46370368;121.4127364;8.770244278;19.62121673;28.12910453;111.0734785;34.79290757;34.61345291;43.7565493;151.3778144;35.88368322;34.76511236;39.18355205;141.6680631;36.07254172;35.46138346;40.15654005;145.4632394;33.16177548;32.87825037;37.36745479;134.5770494;35.13255981;34.32580141;42.36201794;141.3330441;33.63792347;31.61613652;27.21589107;106.5709337;-2.46532;-11.4161;-8.39829;3.62159;4.95696;-1.75702;-1.08337;0.721694;24.70781422;27.83446108;35.79121443;127.86005
S30;Reposo_EEG _AO;18.16798937;23.16386372;36.33351687;103.9338227;13.15128665;20.60795171;34.31678704;85.04152942;19.31849274;27.54030763;38.87665594;110.3305421;20.74926987;27.02259002;35.49521674;97.35874238;25.06612019;31.28925664;44.35283331;140.97371;26.99173233;30.18686648;40.47934251;131.0426659;26.45960251;30.46000869;40.19631281;130.4524654;31.0661397;34.67449767;44.25726434;142.1613092;32.60067269;34.86272803;44.83760514;142.3663272;29.95243381;31.66558495;36.70345304;111.33449;-3.04385;-2.9949;0.452122;-4.50292;2.32499;-4.41415;3.41723;-3.74205;24.35237399;29.14736555;39.58489877;119.4995604
S31;Reposo_EEG _AO;15.30556418;19.15217874;31.08008963;131.3934424;9.646622189;12.98543646;21.39674214;99.53918451;15.20916294;19.69023023;34.44300624;132.0525377;17.19149362;16.6523355;23.88997038;106.9600113;26.99988615;33.91985302;44.56906791;147.8565976;25.86277143;34.27048046;44.81862997;149.7645373;27.05540718;34.08776944;42.23416286;140.0373236;32.43577703;34.19622879;40.52545987;142.9551975;30.07519672;35.26719006;44.70767698;148.2427484;28.19284427;32.70653361;36.37522585;118.7086367;4.35706;-11.0814;-4.00236;-2.03335;3.9852;-2.47316;1.81461;0.92705;22.79747257;27.29282363;36.40400318;131.7510217
S32;Reposo_EEG _AO;19.60887585;21.94663644;38.08833529;127.5931138;11.52349747;15.3626919;31.75932244;93.01222567;23.10553959;25.13221036;37.80653581;122.973613;20.88809789;22.18810591;32.65765944;112.3721281;35.27483435;35.79332961;46.65156619;151.5651552;37.72618445;36.93217274;45.11415198;154.5502187;35.48168607;35.9797063;43.96299272;148.4583402;32.16185983;32.14761686;43.12270833;144.8966605;33.18454366;34.20298028;44.65476125;149.2495185;33.4289763;33.30265995;36.13562386;128.7091764;7.07038;-2.34596;2.1895;3.93182;2.93363;0.257166;-0.720986;4.79735;28.23840955;29.29881104;39.99536573;133.338015
S33;Reposo_EEG _AO;11.44239931;19.45539715;37.17219599;120.174246;11.15566136;12.49918585;29.95060248;86.65438084;12.92107552;20.6662896;36.72663463;115.3639372;12.84746551;15.49384485;28.84053261;97.36518577;36.02435189;34.11051526;45.90350419;154.0158616;36.96923589;33.20552164;40.05458232;147.4393035;36.67330309;32.82817837;42.21418763;145.5217606;35.16412791;31.10456132;39.27411678;142.4226522;36.81761792;33.71229458;43.93251511;146.5133721;35.6059532;25.03505792;28.2553818;114.2535665;-2.14401;-11.413;-5.17727;5.50948;4.56591;-4.02454;-3.84576;-1.41687;26.56211916;25.81108465;37.23242535;126.9724266
S34;Reposo_EEG _AO;16.26767102;21.13028136;38.22433558;121.196662;11.41485617;14.17704271;34.21040903;88.24706073;17.98715238;20.85793594;36.57602919;108.1314955;15.09512856;19.72770483;33.572231;96.1808902;35.49019492;35.64338643;47.87960662;150.4815056;35.43391187;31.65931205;42.89159669;131.2359008;33.71028768;31.4333919;41.40519491;123.2459909;31.85426594;29.34297041;42.16885688;126.8755086;32.00039626;30.41244067;42.43502625;126.9802847;28.44835086;20.52752948;31.71227532;78.87762563;-11.93;-8.83332;-2.94622;0.82201;1.29537;-4.88315;-5.91075;-3.81748;25.77022157;25.49119958;39.10755615;115.1452925
S35;Reposo_EEG _AO;14.58281882;17.65864745;31.71845595;108.2477423;13.30394632;12.4230348;25.5076957;73.82626464;14.97223528;20.43559052;33.34929581;113.072694;13.80924746;16.12682867;30.09092885;86.71282848;37.13989176;36.25732965;45.12995107;148.5223952;37.55817122;36.14709902;42.49356759;144.5077268;36.23911425;33.54833826;38.93678687;128.6766512;34.87070441;32.63656961;41.72596906;129.6336065;36.09734689;33.64405126;40.15662086;135.3036428;34.42601356;29.72554486;31.6340203;98.00574813;-6.12249;-12.3031;-9.01851;5.8792;5.50508;-8.46338;-1.53183;1.05856;27.299949;26.86030341;36.07432921;116.65093
S36;Reposo_EEG _AO;17.28359567;17.41948446;36.6545717;133.7297785;13.94454677;12.27419688;29.00569803;88.18234305;17.59122064;18.09763776;33.9187801;114.6109501;17.79440859;18.7911194;31.51128473;102.0059602;37.67496985;35.84595876;45.68591066;134.6209678;38.59447482;37.00283075;43.55188337;134.6119384;37.03494936;35.23022226;43.12320385;120.4455897;36.66756919;35.16231006;43.63778287;128.463802;35.73975085;32.944404;44.27718867;131.7955118;36.47155982;34.60536069;35.98345095;91.72008403;-5.0675;-8.75212;-2.35397;7.73547;3.4442;-4.36724;2.15054;2.57617;28.87970456;27.7373525;38.73497549;118.0186926
S37;Reposo_EEG _AO;26.31942042;27.99068163;39.0646306;130.7420679;19.8701579;17.75597556;30.21975743;94.78611163;27.5345157;27.63591675;36.87007607;124.6467151;26.00013711;21.5449296;29.22641452;99.3345029;37.49563022;34.55372228;46.40316802;151.8401829;36.79140964;34.09273249;42.28527119;142.7932461;36.30028942;33.31612703;40.40401853;132.126359;34.13532641;29.0299127;38.87659511;127.7182063;34.91697512;33.52791067;42.34859776;135.5706127;31.55650314;23.52641432;28.53321964;88.135735;-6.01349;1.18571;-4.16964;5.47032;3.92049;-0.908193;-5.17402;-0.809016;31.09203651;28.2974323;37.42317489;122.769374
S2;Reposo_EEG;32.74111089;31.34600052;45.11673829;146.2949761;19.35328606;19.37162054;36.15127339;116.4821176;29.64487739;31.00211946;44.29656776;139.9952504;26.82162655;27.55067042;41.1449111;126.4340007;31.57439418;30.16171287;45.57895465;157.6043069;37.27628301;37.67233932;47.91168936;159.1973836;35.43285578;36.18303567;47.16012874;150.8923676;33.15244939;29.4643242;44.88452966;156.3066571;34.40029527;31.57834079;44.78000925;142.9911233;34.46387306;33.02024669;42.70296139;129.6680266;13.1057;10.8666;12.306;3.4571;-3.24075;9.43543;-0.475683;5.70185;31.48610516;30.73504105;43.97277636;142.586621
S3;Reposo_EEG;24.20600235;27.84127962;42.40249179;142.4029221;14.57681959;19.64228871;36.77400339;113.4959852;23.34232793;25.1237943;38.03138882;125.4576764;24.81857506;25.67519891;40.60438404;128.352676;29.20532396;30.64031945;44.34992441;149.5505179;30.92602076;31.14580323;43.40651889;146.6708197;32.4876342;31.59726545;40.84999413;139.5887517;32.73342653;32.3986458;45.3703916;148.4115646;30.77895299;32.44917367;41.64593225;144.0025205;29.68153613;26.18091401;34.84145103;115.7581673;2.9583;3.35694;3.94748;-1.63809;-3.12385;4.84899;0.551055;-1.89052;27.27566195;28.26946832;40.82764804;135.3691601
S5;Reposo_EEG;22.18415758;27.42886055;43.7191543;136.3920788;12.45860634;17.13606424;31.85874512;96.22531301;17.73734362;25.87165613;38.33010224;115.4419984;19.79487092;21.06855936;33.48633828;105.5993911;32.5823476;31.07003263;41.89392335;141.5910139;32.88552419;34.14169229;42.41633;138.4357859;34.01432175;29.70875351;39.20772833;127.9090125;34.02463562;31.39570314;38.43041132;133.9311969;34.0414696;32.50522115;41.87143368;135.6521803;29.9036744;26.23423399;29.25449416;93.27352165;-7.41257;-2.95046;-3.77845;1.06712;0.649747;-0.122443;-0.262434;-2.69361;26.96269516;27.6560777;38.04686608;122.4451492
S6;Reposo_EEG;29.92849032;30.80508784;43.74667113;133.5534055;21.62465933;22.75780795;37.15019875;86.4844341;26.84602537;28.15113184;38.99303502;95.87437481;25.35229889;29.71274609;38.43049453;86.9346364;30.86333832;33.68998008;46.23062163;125.5752482;31.24932434;34.32557834;43.22870044;118.4430444;33.20169473;35.50569519;44.01436778;107.5273504;34.40153646;35.84016742;44.90557643;136.2927163;33.55512402;34.41878644;44.10320277;125.517914;28.78809828;32.08373084;35.72353158;83.50885226;-9.60778;6.42199;4.28857;0.946511;1.54072;-2.55037;4.78867;-0.735096;29.58105901;31.7290712;41.65264001;109.9711976
S7;Reposo_EEG;19.75694438;27.01249679;41.16768176;112.0683335;9.811676033;15.66709877;33.4415892;81.08798658;15.5621147;20.906843;37.42751227;103.2856767;17.56166895;25.59056737;40.04155764;95.40246888;14.16731482;27.21946597;45.26704009;150.9997619;12.25582164;28.89856328;46.39626462;155.2701992;20.50766461;30.58508604;42.45793287;145.1243783;28.239468;32.22022805;46.01458224;147.8565804;23.61481417;28.64346651;42.59538749;149.1164286;15.15988278;25.27071079;38.12552233;126.3987849;2.69248;-5.0457;4.38186;-15.5051;-6.86689;-3.17403;1.75832;-6.13209;17.66373701;26.20145266;41.29350705;126.6610599
S10;Reposo_EEG;21.10274922;29.20563761;46.53922649;137.5756658;13.56957462;18.91737604;41.84506033;110.4814569;19.16279646;24.91397942;40.97703114;121.5637193;21.27425782;28.45550803;43.71604976;123.6542593;36.05702278;34.06236039;48.5904453;160.5761817;36.89133309;35.78557838;45.335246;151.0357321;37.50474305;35.64332932;45.82196009;152.7014756;34.29308206;32.39378967;45.85589658;149.7237778;34.09427559;30.16046763;44.10379146;145.9974341;31.47131574;26.89753861;36.49313489;115.3534867;7.32782;4.00396;9.90928;2.97945;-1.82084;5.92817;-2.78929;2.40137;28.54211504;29.64355651;43.9277842;136.8663189
S11;Reposo_EEG;24.23839448;30.24957225;46.35050864;139.5725917;15.05558552;17.48854662;39.67879106;99.05136618;19.97229747;25.02408781;38.33061874;112.5223921;22.3538992;27.73653821;44.17336519;122.4719843;27.7664536;30.52387083;47.20442196;147.2491995;34.74199416;35.46744932;44.91137656;142.8339101;30.03558333;34.70433015;45.636902;141.1192262;30.80630677;33.20317353;46.64750188;143.8298496;25.99729802;30.58790359;43.33921227;136.1235444;25.30863267;30.10005857;36.99593606;107.2811039;2.48803;3.63316;8.19166;-3.62733;-5.05449;3.54281;1.16983;1.18922;25.62764452;29.50855309;43.32686344;129.2055168
S13;Reposo_EEG;34.49731138;27.74489351;39.79564679;138.692151;23.39354152;15.31255942;28.26587762;97.68953915;30.1373637;23.68271191;33.84611755;114.1574809;32.54239841;23.98775746;33.31552577;123.4492182;33.25959252;31.17833062;43.71181518;148.3000105;35.59346006;35.32522382;43.90903357;144.5729725;36.89613004;35.26083063;43.56041824;147.4846151;35.52802786;32.65456857;42.98872817;140.8092242;33.95119455;31.57525415;42.38217443;138.5115965;33.29901157;29.96276898;36.43567748;111.7032282;3.6057;5.87491;0.442063;5.81589;-2.64986;1.39824;1.20822;1.89778;32.90980316;28.66848991;38.82110148;130.5370036
S14;Reposo_EEG;31.29898077;30.34398904;45.04933375;116.9864308;22.09372573;20.78565668;37.59778141;89.12404943;28.81593705;26.29539792;38.89546314;98.21895845;24.86437841;27.53665095;42.15215132;106.0625271;32.89204563;30.58998486;45.90339508;148.3254873;36.46867798;32.05645237;45.18645974;134.1163431;33.06307512;32.03332238;44.16252489;140.7210371;35.10991017;33.28735623;45.40393885;141.7045914;34.75847242;32.15866746;42.87343476;137.3374667;31.55411506;27.3164132;35.84477144;99.18841113;-1.84673;6.72538;6.13071;2.43052;-1.91616;-1.1811;0.223671;-1.80686;31.09193183;29.24038911;42.30692544;121.1785303
S16;Reposo_EEG;30.60969289;29.64195921;46.13338999;140.5763121;12.06863241;16.59894268;39.44249058;107.519583;25.6389559;25.6443546;43.17372327;126.5882931;25.31365366;28.05588818;43.94698039;120.4599831;21.09651816;29.21165005;46.43403177;152.6152706;32.14562757;34.57621499;47.31630574;153.0852181;32.27981604;35.01911672;47.14807251;146.4475119;27.4308389;33.45726625;46.30677773;150.3337761;26.58478235;28.92677689;46.17007371;148.0453545;29.89526139;30.96206242;43.11017144;123.7875006;10.577;6.17282;13.0306;-4.94629;-6.79647;6.85565;1.10451;2.78787;26.30637793;29.2094232;44.91820171;136.9458803
S18;Reposo_EEG;21.41074266;28.80728491;43.98895191;133.0844956;16.03284966;15.33464429;35.3506088;94.14568629;24.01611991;26.74034778;36.45368785;113.8637535;23.88885224;24.9791413;32.72989235;113.3401776;26.48391722;28.29470185;45.00004548;144.0042764;29.85381694;34.83402748;40.27425243;145.0516931;27.52974386;31.92751066;36.82708755;124.4079304;33.16332298;31.38865609;40.00352991;143.9144551;33.27504802;30.71302591;38.22304626;126.6882686;30.7440772;29.50552862;24.37343108;95.95471377;-7.00139;0.0244788;-4.62544;-1.40706;-2.51747;-0.0862905;0.168903;-2.70924;26.63984907;28.25248689;37.32245336;123.445545
S19;Reposo_EEG;33.33567851;32.813557;47.44513554;136.1905971;20.29840279;20.16647071;40.04797908;95.36648339;30.852281;25.16778067;39.43429401;108.5333441;19.59646547;23.36141732;37.77952124;96.14111618;31.86681349;32.94635242;45.79260131;144.8765366;35.63867292;31.7785232;42.21635879;129.8748577;26.52331144;31.39172928;39.68575791;123.2897993;29.84349787;30.39777103;42.53937401;131.7356538;32.47096721;32.90817772;41.69848522;129.4638773;21.04163273;21.52977943;29.84517483;80.27750897;-11.7861;4.57759;1.55837;-2.42878;0.255381;-0.454186;-3.55869;-5.14989;28.14677234;28.24615588;40.64846819;117.5749774
S20;Reposo_EEG;10.61205794;10.40254122;40.310233;108.2810744;10.53249747;13.76978413;37.02334924;94.60999855;13.20269685;14.23722426;35.72070053;97.25372018;15.62843102;19.03603694;41.56130854;117.1930362;22.21723343;27.04397737;45.8683332;150.3736469;31.05009026;30.62797943;43.90435653;144.7703072;25.27853346;25.67439234;45.98704267;145.7956173;32.9871781;34.31387836;46.82032538;154.0568552;31.63214259;31.32181949;42.93614112;137.9790251;33.13995289;28.57935834;37.60067581;115.8426852;0.532469;-11.8105;4.4944;-3.61106;-5.27227;-4.82694;1.52649;-5.57082;22.6280814;23.50069919;41.7732466;126.6155966
